Designator,Footprint,Quantity,Value,Link,Price
"C1, C3, C6",1206,50,1u,https://www.lcsc.com/product-detail/C5187282.html,0.67
C2,CP_Radial_D6.3mm_P2.50mm,20,100u,https://www.lcsc.com/product-detail/C52994849.html,0.66
C4,CP_Radial_D10.0mm_P5.00mm,10,330u,https://www.lcsc.com/product-detail/C49332876.html,0.23
C5,1206,20,100n,https://www.lcsc.com/product-detail/C24497.html,0.44
D1,D_SMA,20,D_Schottky,https://www.lcsc.com/product-detail/C7470651.html,0.65
D2,402,50,LED,https://www.lcsc.com/product-detail/C51933302.html,0.4
F1,1206,10,Fuse,https://www.lcsc.com/product-detail/C41367227.html,0.5
"J1, J2",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,5,Screw_Terminal_01x02,https://www.lcsc.com/product-detail/C474881.html,0.5
L1,1008,20,1u,https://www.lcsc.com/product-detail/C42455356.html,0.68
L2,L_7.3x7.3_H3.5,5,6.8u,https://www.lcsc.com/product-detail/C718267.html,0.14
"R1, R3",402,100,100k,https://www.lcsc.com/product-detail/C60491.html,0.14
R2,402,100,23.7k,https://www.lcsc.com/product-detail/C327362.html,0.14
R4,402,100,220,https://www.lcsc.com/product-detail/C2909336.html,0.16
RV1,RV_Disc_D7mm_W3.4mm_P5mm,20,Varistor,https://www.lcsc.com/product-detail/C22390607.html,0.32
U1,Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,1,LMR33630BDDA,https://www.lcsc.com/product-detail/C544370.html,0.74
,,,,PCB + PCB Shipping,9.98
,,,,Parts Shipping,8.78
,,,,Total,25.13